student_ID,Age,Gender,daily_screen_time_hours,social_media_hours,online_study_hours,gaming_hours,sleep_hours,attendance_percentage,offline_study_hours,previous_sem_CGPA,current_sem_CGPA
S348,21,Female,5.5,2.2,4.5,1.1,7.6,80,2.7,7.87,8.07
S349,18,Male,8.1,3.2,1.9,1.6,5.9,57,1.9,5.55,5.75
S350,17,Male,9.9,4,0.1,2,6.4,65,2.2,6.34,6.54
S351,21,Female,5.6,2.2,4.4,1.1,7.7,90,3,8.89,9.09
S352,24,Male,4.8,1.9,5.2,1,7.4,95,3.2,9.33,9.53
S353,17,Male,6.3,2.5,3.7,1.3,6.7,72,2.4,7.06999999999999,7.27
S354,17,Female,4.6,1.8,5.4,0.9,8.4,91,3,8.92,9.12
S355,18,Female,9.6,3.8,0.4,1.9,6.2,58,1.9,5.63,5.83
S356,24,Male,9.4,3.8,0.6,1.9,5.9,63,2.1,6.13,6.33
S357,24,Male,4.9,2,5.1,1,7.8,92,3.1,9.07,9.27
S358,24,Male,4.2,1.7,5.8,0.8,8,92,3.1,9.09,9.29
S359,20,Male,4.1,1.6,5.9,0.8,8.1,97,3.2,9.51,9.71
S360,21,Male,9.8,3.9,0.2,2,6.2,67,2.2,6.53,6.73
S361,17,Male,8,3.2,2,1.6,5.4,64,2.2,6.29,6.49
S362,19,Male,8.7,3.5,1.3,1.7,6.5,58,1.9,5.6,5.8
S363,23,Female,5.5,2.2,4.5,1.1,7.1,83,2.8,8.12,8.32
S364,18,Female,9.4,3.8,0.6,1.9,5.2,59,2,5.72,5.92
S365,17,Female,6.9,2.8,3.1,1.4,6.8,79,2.6,7.7,7.9
S366,25,Female,7.6,3,2.4,1.5,6.6,69,2.3,6.71,6.91
S367,17,Female,9.7,3.9,0.3,1.9,5.2,58,1.9,5.60999999999999,5.81
S368,17,Female,10,4,0,2,5.5,63,2.1,6.17,6.37
S369,24,Female,9.5,3.8,0.5,1.9,6.1,58,1.9,5.63,5.83
S370,22,Male,8.4,3.4,1.6,1.7,6,65,2.2,6.31,6.51
S371,21,Male,5.6,2.2,4.4,1.1,8.1,88,3,8.68,8.88
S372,24,Female,4.6,1.8,5.4,0.9,7.7,97,3.2,9.53,9.73
S373,19,Male,8.4,3.4,1.6,1.7,5.9,62,2.1,6,6.2
S374,21,Male,4.6,1.8,5.4,0.9,7.1,81,2.7,7.89999999999999,8.1
S375,19,Male,5,2,5,1,8.2,89,3,8.72,8.92
S376,25,Female,5.7,2.3,4.3,1.1,8.3,81,2.7,7.98999999999999,8.19
S377,25,Female,8.5,3.4,1.5,1.7,5.9,65,2.2,6.35999999999999,6.56
S378,22,Female,8.7,3.5,1.3,1.7,5,62,2.1,6.02,6.22
S379,20,Male,8.5,3.4,1.5,1.7,6.4,57,1.9,5.56,5.76
S380,21,Female,8.5,3.4,1.5,1.7,5.7,65,2.2,6.39,6.59
S381,22,Male,6.2,2.5,3.8,1.2,7.1,73,2.4,7.14,7.34
S382,21,Female,4.8,1.9,5.2,1,7,91,3,8.93,9.13
S383,17,Male,7.7,3.1,2.3,1.5,7.2,72,2.4,7.03,7.23
S384,23,Female,9.2,3.7,0.8,1.8,6.1,61,2.1,5.96,6.16
S385,19,Male,7.4,3,2.6,1.5,7,75,2.5,7.31999999999999,7.52
S386,22,Female,4.1,1.6,5.9,0.8,8,84,2.8,8.24,8.44
S387,19,Female,6,2.4,4,1.2,7.1,77,2.6,7.54,7.74
S388,18,Male,6.2,2.5,3.8,1.2,7.1,69,2.3,6.75,6.95
S389,22,Male,5.3,2.1,4.7,1.1,8.1,90,3,8.8,9
S390,23,Male,5,2,5,1,7.7,90,3,8.88,9.08
S391,18,Male,9.7,3.9,0.3,1.9,5.8,57,1.9,5.56,5.76
S392,17,Male,4.2,1.7,5.8,0.8,8.2,78,2.6,7.64999999999999,7.85
S393,19,Male,5.8,2.3,4.2,1.2,7.4,96,3.2,9.48,9.68
S394,21,Female,9.1,3.6,0.9,1.8,6.2,57,1.9,5.54,5.74
S395,19,Male,4.8,1.9,5.2,1,8.1,79,2.7,7.76,7.96
S396,20,Female,8.7,3.5,1.3,1.7,5.1,55,1.8,5.31,5.51
S397,22,Female,6.8,2.7,3.2,1.4,6.4,68,2.3,6.62,6.82
S398,22,Male,5.7,2.3,4.3,1.1,8.2,83,2.8,8.15,8.35
S399,24,Male,6.7,2.7,3.3,1.3,6.1,77,2.6,7.53,7.73
S400,18,Male,4.4,1.8,5.6,0.9,7.2,96,3.2,9.41,9.61
S401,20,Female,8.6,3.4,1.4,1.7,5.4,56,1.9,5.41,5.61
S402,25,Male,7.4,3,2.6,1.5,6.1,79,2.6,7.72,7.92
S403,21,Female,9.9,4,0.1,2,6,58,1.9,5.63,5.83
S404,25,Male,6,2.4,4,1.2,7.4,71,2.4,6.97,7.17
S405,22,Male,4.9,2,5.1,1,7.4,82,2.8,8.05,8.25
S406,25,Male,7.3,2.9,2.7,1.5,6.3,79,2.7,7.78,7.98
S407,18,Male,8.2,3.3,1.8,1.6,5.1,62,2.1,6.01,6.21
S408,18,Female,6.6,2.6,3.4,1.3,7,69,2.3,6.77,6.97
S409,24,Male,6.8,2.7,3.2,1.4,7,72,2.4,7.09,7.29
S410,17,Female,7.1,2.8,2.9,1.4,6.7,77,2.6,7.56999999999999,7.77
S411,20,Female,6,2.4,4,1.2,6.8,78,2.6,7.64999999999999,7.85
S412,25,Female,4.1,1.6,5.9,0.8,8,80,2.7,7.85,8.05
S413,24,Female,9.9,4,0.1,2,5,65,2.2,6.3,6.5
S414,22,Male,6.1,2.4,3.9,1.2,6.6,71,2.4,6.93999999999999,7.14
S415,21,Male,7.9,3.2,2.1,1.6,6.6,77,2.6,7.59,7.79
S416,20,Male,5.2,2.1,4.8,1,7.1,81,2.7,7.97,8.17
S417,18,Female,7.8,3.1,2.2,1.6,6.6,77,2.6,7.56,7.76
S418,19,Male,6.7,2.7,3.3,1.3,6.2,74,2.5,7.27,7.47
S419,23,Female,5.7,2.3,4.3,1.1,7.2,97,3.3,9.57,9.77
S420,20,Female,6.2,2.5,3.8,1.2,7.2,76,2.6,7.47999999999999,7.68
S421,17,Male,7.7,3.1,2.3,1.5,7.3,69,2.3,6.7,6.9
S422,20,Female,6.9,2.8,3.1,1.4,7.1,69,2.3,6.75,6.95
S423,25,Male,9.3,3.7,0.7,1.9,5.2,60,2,5.85999999999999,6.06
S424,19,Male,7.2,2.9,2.8,1.4,7.3,76,2.6,7.46,7.66
S425,19,Female,6,2.4,4,1.2,7.4,71,2.4,6.96,7.16
S426,21,Female,5.9,2.4,4.1,1.2,8.2,87,2.9,8.54,8.74
S427,21,Female,7,2.8,3,1.4,6.5,77,2.6,7.59,7.79
S428,18,Male,9,3.6,1,1.8,5.4,56,1.9,5.43,5.63
S429,22,Male,8.4,3.4,1.6,1.7,5.9,57,1.9,5.55,5.75
S430,17,Female,9,3.6,1,1.8,6.5,61,2,5.91,6.11
S431,23,Female,8.4,3.4,1.6,1.7,5.5,56,1.9,5.43999999999999,5.64
S432,19,Female,9.1,3.6,0.9,1.8,6.3,58,1.9,5.6,5.8
S433,19,Male,9.2,3.7,0.8,1.8,5.5,57,1.9,5.58,5.78
S434,23,Male,5.8,2.3,4.2,1.2,8.4,91,3,8.91,9.11
S435,22,Male,8.7,3.5,1.3,1.7,5.4,63,2.1,6.16,6.36
S436,20,Male,4,1.6,6,0.8,7.6,81,2.7,7.94,8.14
S437,17,Male,7.3,2.9,2.7,1.5,7.5,72,2.4,7.06,7.26
S438,25,Male,6.5,2.6,3.5,1.3,7.4,68,2.3,6.63,6.83
S439,23,Female,9.8,3.9,0.2,2,6,65,2.2,6.37,6.57
S440,20,Female,8.4,3.4,1.6,1.7,6.2,59,2,5.7,5.9
S441,25,Female,5.3,2.1,4.7,1.1,7.1,80,2.7,7.83999999999999,8.04
S442,19,Male,7.4,3,2.6,1.5,7.2,71,2.4,6.93999999999999,7.14
S443,24,Female,5.8,2.3,4.2,1.2,7.1,92,3.1,9.09,9.29
S444,17,Female,8,3.2,2,1.6,6.3,62,2.1,6.06999999999999,6.27
S445,21,Male,4.2,1.7,5.8,0.8,8.5,89,3,8.77,8.97
S446,21,Male,8,3.2,2,1.6,5.3,58,1.9,5.63,5.83
S447,24,Female,7.2,2.9,2.8,1.4,7.3,68,2.3,6.64,6.84
S448,25,Male,7.4,3,2.6,1.5,6.6,74,2.5,7.22,7.42
S449,22,Female,9.4,3.8,0.6,1.9,5.9,60,2,5.88,6.08
S450,22,Female,8.7,3.5,1.3,1.7,6,63,2.1,6.13,6.33
S451,23,Male,6.9,2.8,3.1,1.4,7.4,75,2.5,7.38,7.58
S452,18,Male,7,2.8,3,1.4,6.1,75,2.5,7.35999999999999,7.56
S453,17,Male,4.2,1.7,5.8,0.8,8.4,90,3,8.81,9.01
S454,20,Female,6,2.4,4,1.2,6.3,73,2.5,7.18,7.38
S455,24,Male,7.5,3,2.5,1.5,7.3,74,2.5,7.24,7.44
S456,17,Female,9.1,3.6,0.9,1.8,5.7,58,2,5.67,5.87
S457,24,Male,7.1,2.8,2.9,1.4,7.4,71,2.4,6.95,7.15
S458,23,Male,5.7,2.3,4.3,1.1,7.8,94,3.1,9.24,9.44
S459,24,Female,4.2,1.7,5.8,0.8,7.1,91,3.1,8.95,9.15
S460,23,Female,8.4,3.4,1.6,1.7,6,66,2.2,6.45,6.65
S461,23,Male,8.9,3.6,1.1,1.8,6,55,1.8,5.3,5.5
S462,20,Female,7.6,3,2.4,1.5,6.2,76,2.5,7.42,7.62
S463,17,Female,4.6,1.8,5.4,0.9,7.8,89,3,8.79,8.99
S464,18,Male,4.5,1.8,5.5,0.9,8.4,85,2.8,8.31,8.51
S465,25,Male,7.6,3,2.4,1.5,7,68,2.3,6.60999999999999,6.81
S466,18,Male,4.9,2,5.1,1,8,81,2.7,7.94,8.14
S467,25,Female,4.4,1.8,5.6,0.9,7.2,88,3,8.67,8.87
S468,21,Male,7.2,2.9,2.8,1.4,6.1,73,2.4,7.14,7.34
S469,25,Female,8.8,3.5,1.2,1.8,5.7,57,1.9,5.58,5.78
S470,23,Male,9.1,3.6,0.9,1.8,5.6,64,2.1,6.2,6.4
S471,19,Male,5.8,2.3,4.2,1.2,7.7,93,3.1,9.18,9.38
S472,25,Female,9.1,3.6,0.9,1.8,5.6,66,2.2,6.49,6.69
S473,21,Male,8.2,3.3,1.8,1.6,5.6,63,2.1,6.18999999999999,6.39
S474,19,Male,4.9,2,5.1,1,7.5,95,3.2,9.38,9.58
S475,17,Female,7.1,2.8,2.9,1.4,6,72,2.4,7.05,7.25
S476,22,Male,9.1,3.6,0.9,1.8,6.3,61,2.1,5.99,6.19
S477,24,Male,4.6,1.8,5.4,0.9,8.5,81,2.7,7.93,8.13
S478,19,Female,7.2,2.9,2.8,1.4,6.1,69,2.3,6.76,6.96
S479,21,Female,5.9,2.4,4.1,1.2,7.7,80,2.7,7.89,8.09
S480,22,Female,4.7,1.9,5.3,0.9,7.5,97,3.2,9.51,9.71
S481,17,Male,10,4,0,2,5.1,62,2.1,6.01,6.21
S482,17,Male,9.8,3.9,0.2,2,6.5,65,2.2,6.31,6.51
S483,19,Female,7.3,2.9,2.7,1.5,7.3,77,2.6,7.51,7.71
S484,21,Female,9,3.6,1,1.8,5.3,64,2.1,6.22,6.42
S485,19,Male,9,3.6,1,1.8,5.2,62,2.1,6.01,6.21
S486,19,Female,7.8,3.1,2.2,1.6,6.6,73,2.5,7.18999999999999,7.39
S487,21,Male,5.8,2.3,4.2,1.2,8.2,84,2.8,8.25,8.45
S488,22,Male,6.4,2.6,3.6,1.3,6.7,68,2.3,6.64999999999999,6.85
S489,22,Male,4.8,1.9,5.2,1,7.9,89,3,8.79,8.99
S490,20,Male,8.5,3.4,1.5,1.7,5.1,62,2.1,6.01,6.21
S491,20,Female,9.3,3.7,0.7,1.9,5.2,67,2.2,6.53,6.73
S492,24,Male,7,2.8,3,1.4,6.7,71,2.4,6.96,7.16
S493,17,Male,6.3,2.5,3.7,1.3,6.7,74,2.5,7.21,7.41
S494,23,Male,9.4,3.8,0.6,1.9,5.7,60,2,5.89,6.09
S495,17,Male,6.9,2.8,3.1,1.4,6.1,80,2.7,7.8,8
S496,21,Male,5.8,2.3,4.2,1.2,7.5,82,2.8,8.08,8.28
S497,22,Male,9.8,3.9,0.2,2,6.1,57,1.9,5.59,5.79
S498,18,Male,4.2,1.7,5.8,0.8,7.8,95,3.2,9.34,9.54
S499,19,Female,5.7,2.3,4.3,1.1,8.4,82,2.7,8.02,8.22
S500,19,Male,8.1,3.2,1.9,1.6,5.4,65,2.2,6.38,6.58
S501,24,Male,6.1,2.4,3.9,1.2,6.1,75,2.5,7.35999999999999,7.56
S502,18,Male,8.9,3.6,1.1,1.8,6.3,65,2.2,6.35,6.55
S503,22,Male,4.5,1.8,5.5,0.9,7.1,87,2.9,8.58,8.78
S504,19,Male,6.1,2.4,3.9,1.2,7.2,69,2.3,6.72999999999999,6.93
S505,22,Female,9.2,3.7,0.8,1.8,5.2,63,2.1,6.18999999999999,6.39
S506,23,Male,4.9,2,5.1,1,8,92,3.1,9.02,9.22
S507,23,Male,8.8,3.5,1.2,1.8,5.6,67,2.2,6.51,6.71
S508,19,Male,9.1,3.6,0.9,1.8,5.3,62,2.1,6.01,6.21
S509,23,Female,6.5,2.6,3.5,1.3,6.3,77,2.6,7.51,7.71
S510,20,Female,6.7,2.7,3.3,1.3,6.9,75,2.5,7.3,7.5
S511,24,Male,7.2,2.9,2.8,1.4,6.4,73,2.5,7.16,7.36
S512,24,Female,7.3,2.9,2.7,1.5,6.2,74,2.5,7.22,7.42
S513,18,Male,6.4,2.6,3.6,1.3,7.3,69,2.3,6.79,6.99
S514,18,Female,4.3,1.7,5.7,0.9,7.5,93,3.1,9.1,9.3
S515,25,Female,7.6,3,2.4,1.5,6.9,78,2.6,7.67,7.87
S516,17,Male,5.5,2.2,4.5,1.1,7.5,92,3.1,9.08,9.28
S517,18,Male,5.6,2.2,4.4,1.1,7.5,94,3.2,9.29,9.49
S518,19,Male,9.7,3.9,0.3,1.9,5.6,60,2,5.85,6.05
S519,24,Male,4.7,1.9,5.3,0.9,7.8,78,2.6,7.68,7.88
S520,17,Female,4,1.6,6,0.8,8.1,81,2.7,7.93,8.13
S521,21,Female,8.6,3.4,1.4,1.7,6.1,67,2.2,6.54,6.74
S522,22,Female,8.7,3.5,1.3,1.7,5.1,63,2.1,6.14,6.34
S523,19,Female,6.3,2.5,3.7,1.3,6.7,78,2.6,7.64,7.84
S524,20,Male,4,1.6,6,0.8,7.3,95,3.2,9.32,9.52
S525,24,Female,8.3,3.3,1.7,1.7,6.3,59,2,5.78,5.98
S526,25,Female,5.3,2.1,4.7,1.1,7.9,91,3.1,8.96,9.16
S527,21,Female,9.6,3.8,0.4,1.9,6.1,56,1.9,5.46,5.66
S528,25,Male,8.3,3.3,1.7,1.7,6.3,57,1.9,5.56,5.76
S529,21,Female,4.7,1.9,5.3,0.9,7.4,88,2.9,8.63,8.83
S530,19,Male,6,2.4,4,1.2,6.2,68,2.3,6.62,6.82
S531,24,Male,8.4,3.4,1.6,1.7,6.4,59,2,5.72999999999999,5.93
S532,17,Female,6.8,2.7,3.2,1.4,6.8,79,2.7,7.76,7.96
S533,22,Male,6.7,2.7,3.3,1.3,6.3,71,2.4,6.92,7.12
S534,22,Male,4.5,1.8,5.5,0.9,7.6,85,2.9,8.37,8.57
S535,23,Female,4.1,1.6,5.9,0.8,8.2,83,2.8,8.19,8.39
S536,20,Male,7.9,3.2,2.1,1.6,6.9,74,2.5,7.28,7.48
S537,17,Male,9.8,3.9,0.2,2,5,66,2.2,6.39999999999999,6.6
S538,24,Male,8.7,3.5,1.3,1.7,5.6,61,2,5.89999999999999,6.1
S539,20,Female,8.3,3.3,1.7,1.7,5.9,67,2.2,6.52,6.72
S540,18,Male,9.9,4,0.1,2,5.8,58,1.9,5.60999999999999,5.81
S541,23,Female,9.8,3.9,0.2,2,5.5,56,1.9,5.39999999999999,5.6
S542,21,Female,9.4,3.8,0.6,1.9,5.5,66,2.2,6.39999999999999,6.6
S543,17,Male,7.8,3.1,2.2,1.6,7,72,2.4,7.06999999999999,7.27
S544,18,Female,9.5,3.8,0.5,1.9,5.7,58,2,5.68,5.88
S545,22,Male,4.9,2,5.1,1,7.9,78,2.6,7.62,7.82
S546,21,Female,9.7,3.9,0.3,1.9,5.4,61,2.1,5.99,6.19
S547,19,Female,4.5,1.8,5.5,0.9,8.2,83,2.8,8.15,8.35
S548,17,Female,9.2,3.7,0.8,1.8,6.3,61,2,5.93,6.13
S549,25,Female,10,4,0,2,5.6,61,2.1,5.99,6.19
S550,25,Female,7.8,3.1,2.2,1.6,6.6,74,2.5,7.2,7.4
S551,22,Female,5.6,2.2,4.4,1.1,7.9,86,2.9,8.47,8.67
S552,17,Male,4.1,1.6,5.9,0.8,8.2,78,2.6,7.63,7.83
S553,24,Female,6.4,2.6,3.6,1.3,7.5,79,2.6,7.74,7.94
S554,17,Male,8.3,3.3,1.7,1.7,6,58,1.9,5.62,5.82
S555,21,Female,9.8,3.9,0.2,2,6.3,64,2.2,6.29,6.49
S556,24,Female,8.7,3.5,1.3,1.7,5.8,59,2,5.79,5.99
